MeanPacketSize,MeanInterarrivalTime,Label
656.5662371985464,0.004714037667272426895754171485,Chrome
910.8411077182268,0.0007428269919269919269919269919,Chrome
771.270467141726,0.002936240101362052581564776687,Chrome
886.4726137091608,0.001858430047249139104668855610,Chrome
488.5,0.01315638089047773805654858629,Chrome
716.8718821905201,0.001841469440353460972017673049,Chrome
848.1445618153365,0.001828874694316736770028367407,Chrome
792.4208396560446,0.001369214780717284637563862613,Chrome
630.3260371517027,0.0007546159943032292021424811914,Chrome
707.7441538816176,0.0005422933763639157830029199324,Chrome
679.5771267792122,0.004256323952987915907962257904,Edge
599.8951464348546,0.0004465750093140704557685143023,Edge
787.4604995249084,0.001248876875042421774248286160,Edge
756.2825899590606,0.001228022356300166998868717341,Edge
790.1691268236003,0.0008111821311757617490101566535,Edge
898.0961936692634,0.001584317193432276514964745328,Edge
887.9993326659993,0.0008977251882924969015158737725,Edge
754.4671665530561,0.002331735370980570389728439950,Edge
750.8143887362637,0.002649716297441181521552464365,Edge
755.4486173535462,0.001075679579476631242143754999,Edge
831.1792411206707,0.004229194859632673321934807788,Spotify
875.4293603904443,0.003599924470134874759152215800,Spotify
780.8669410150892,0.004533374689188030523878933379,Spotify
859.6429202473697,0.003972823212851405622489959839,Spotify
939.1062934884204,0.003379348237004725554343874955,Spotify
926.9921897599074,0.002863891878209300643668185434,Spotify
983.7601850739094,0.003335775734631332251667568055,Spotify
905.5561910495685,0.005532326743602609131961866533,Spotify
861.8511509673775,0.005956176129943502824858757062,Spotify
1127.7730249301114,0.001163006816789215686274509804,YouTube
1056.2332103639462,0.0003885208405246807041767345530,YouTube
996.2134835035474,0.0006576453070314985682468978683,YouTube
991.1260575933318,0.0004611230228471001757469244288,YouTube
991.2224924489076,0.0009539030676290600972854228778,YouTube
1059.8395754758355,0.002283027017543859649122807018,YouTube
1045.5811853121497,0.001745224947257383966244725738,YouTube
1099.8725448636428,0.002399634680610514414923685698,YouTube
1134.5870254450858,0.001227718048780487804878048780,YouTube
1137.9553113553113,0.001147797098794827649364445584,YouTube
807.3245721271394,0.006198621216753286456741057780,Zoom
751.5135135135135,0.009903518952062430323299888517,Zoom
753.3846153846154,0.005821446420917273896270895842,Zoom
779.6659084446972,0.007828746302616609783845278726,Zoom
855.8706533776301,0.006543896765618077093486929553,Zoom
877.8186292604897,0.004694524981540733448190991878,Zoom
882.1047968611568,0.003768625822784810126582278481,Zoom
756.9885535900104,0.01036386885245901639344262295,Zoom
770.7860262008734,0.008787403319743739079790331974,Zoom
747.1996762007556,0.01235719109311740890688259109,Zoom
