"No.","Time","Source","Destination","Protocol","Length","Info"
"669","5.937433","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","TLSv1.2","105","Encrypted Alert"
"670","5.937626","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","TCP","74","56861  >  443 [FIN, ACK] Seq=32 Ack=1 Win=260 Len=0"
"671","5.937793","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","TLSv1.2","105","Encrypted Alert"
"672","5.938016","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","TCP","74","56862  >  443 [FIN, ACK] Seq=32 Ack=1 Win=255 Len=0"
"673","5.939035","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","100","Standard query 0x45ec A us.telemetry.zoom.us"
"674","5.939330","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","100","Standard query 0xc8de AAAA us.telemetry.zoom.us"
"675","5.944886","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","116","Standard query response 0x45ec A us.telemetry.zoom.us A 170.114.52.83"
"676","5.947571","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"677","5.947571","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","128","Standard query response 0xc8de AAAA us.telemetry.zoom.us AAAA 2407:30c0:182::aa72:3453"
"678","5.956926","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"679","5.956926","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"680","5.956926","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"681","5.958997","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3453","TCP","86","56904  >  443 [SYN] Seq=0 Win=64440 Len=0 MSS=1432 WS=256 SACK_PERM"
"682","5.964474","2407:30c0:182::aa72:3453","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","86","443  >  56904 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM WS=8192"
"683","5.964569","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3453","TCP","74","56904  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"684","5.965681","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3453","TLSv1.3","591","Client Hello (SNI=us.telemetry.zoom.us)"
"685","5.970442","2407:30c0:182::aa72:3453","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56904 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"686","5.976917","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"687","5.976917","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"688","5.976917","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"689","5.977248","192.168.1.193","206.247.138.14","UDP","229","62302  >  8801 Len=187"
"690","5.996805","206.247.138.14","192.168.1.193","UDP","1085","8801  >  62300 Len=1043"
"691","5.996805","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"692","6.013772","206.247.138.14","192.168.1.193","UDP","86","8801  >  62302 Len=44"
"693","6.013772","206.247.138.14","192.168.1.193","UDP","56","8801  >  62302 Len=14"
"694","6.018728","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"695","6.018728","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
